date,天气状况,max,min,风力风向
2016/9/1,多云 /多云,33,22,西南风 3-4级 /西南风 4-5级
2016/9/2,多云 /晴,34,22,北风 3-4级 /东南风 3-4级
2016/9/3,多云 /多云,33,23,东风 3-4级 /东风 3-4级
2016/9/4,多云 /阴,32,22,东南风 ≤3级 /东风 3-4级
2016/9/5,多云 /多云,32,23,东风 3-4级 /东风 3-4级
2016/9/6,阵雨 /阵雨,27,21,东风 ≤3级 /东风 ≤3级
2016/9/7,阴 /多云,29,21,东风 ≤3级 /东风 ≤3级
2016/9/8,多云 /多云,30,22,西风 3-4级 /东南风 3-4级
2016/9/9,多云 /多云,33,23,东南风 3-4级 /东南风 3-4级
2016/9/10,阴 /多云,31,22,东南风 3-4级 /东风 3-4级
2016/9/11,多云 /多云,30,20,东南风 ≤3级 /东南风 ≤3级
2016/9/12,多云 /多云,30,20,东风 ≤3级 /东风 ≤3级
2016/9/13,多云 /多云,30,20,东风 3-4级 /东风 3-4级
2016/9/14,多云 /中雨,29,21,东风 3-4级 /东风 4-5级
2016/9/15,大雨 /暴雨,24,22,东风 4-5级 /东风 3-4级
2016/9/16,大到暴雨 /阴,24,21,东风 4-5级 /北风 4-5级
2016/9/17,阴 /多云,27,21,东北风 4-5级 /东北风 4-5级
2016/9/18,多云 /多云,28,20,东北风 4-5级 /东北风 4-5级
2016/9/19,多云 /多云,26,17,北风 3-4级 /北风 4-5级
2016/9/20,多云 /多云,25,17,北风 3-4级 /东北风 ≤3级
2016/9/21,阴 /阴,24,18,东北风 ≤3级 /东风 ≤3级
2016/9/22,多云 /多云,26,18,东风 ≤3级 /东风 ≤3级
2016/9/23,多云 /多云,27,19,东南风 3-4级 /东风 ≤3级
2016/9/24,多云 /多云,29,20,东风 ≤3级 /东风 ≤3级
2016/9/25,多云 /多云,28,21,东风 3-4级 /东风 3-4级
2016/9/26,多云 /多云,29,23,东风 3-4级 /东北风 3-4级
2016/9/27,雷阵雨 /小雨,30,23,东北风 3-4级 /东北风 4-5级
2016/9/28,小到中雨 /小到中雨,23,18,东北风 4-5级 /东北风 4-5级
2016/9/29,中雨 /大雨,22,19,东北风 4-5级 /东北风 4-5级
2016/9/30,中雨 /小雨,22,21,东北风 4-5级 /东北风 ≤3级
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
