predict_date,predict_power_consumption
20160901,4127151
20160902,4144756
20160903,4141041
20160904,4147788
20160905,4149512
20160906,4129300
20160907,4148739
20160908,4153238
20160909,4170931
20160910,4160520
20160911,4161414
20160912,4156604
20160913,4150027
20160914,4128609
20160915,4075644
20160916,4070335
20160917,4080816
20160918,4081110
20160919,4069633
20160920,4048290
20160921,4021187
20160922,4022491
20160923,4011012
20160924,4007692
20160925,3982673
20160926,3968032
20160927,3965942
20160928,3933451
20160929,3913363
20160930,3896576
