sum_consumption,record_date,week,month,day
3038431.84291,2015-01-01,3,1,1
3245243.5477,2015-01-02,4,1,2
3633776.15338,2015-01-03,5,1,3
3952295.45856,2015-01-04,6,1,4
4107241.74433,2015-01-05,0,1,5
4107053.77562,2015-01-06,1,1,6
4131650.54326,2015-01-07,2,1,7
4161413.65413,2015-01-08,3,1,8
4134347.75862,2015-01-09,4,1,9
3936345.8039,2015-01-10,5,1,10
3727261.21382,2015-01-11,6,1,11
3976800.35775,2015-01-12,0,1,12
3919265.16505,2015-01-13,1,1,13
4184256.09668,2015-01-14,2,1,14
4074693.54424,2015-01-15,3,1,15
4037836.13997,2015-01-16,4,1,16
4063107.97339,2015-01-17,5,1,17
3898376.63562,2015-01-18,6,1,18
4087417.99319,2015-01-19,0,1,19
4144023.56243,2015-01-20,1,1,20
4104200.05904,2015-01-21,2,1,21
4152426.16428,2015-01-22,3,1,22
4119683.02808,2015-01-23,4,1,23
3869194.8725,2015-01-24,5,1,24
3742785.91578,2015-01-25,6,1,25
3974393.8602,2015-01-26,0,1,26
4203641.32742,2015-01-27,1,1,27
4098201.16207,2015-01-28,2,1,28
4095080.19055,2015-01-29,3,1,29
3961988.86597,2015-01-30,4,1,30
3891982.37322,2015-01-31,5,1,31
3727313.87297,2015-02-01,6,2,1
3932748.58922,2015-02-02,0,2,2
3911951.16662,2015-02-03,1,2,3
3870993.24279,2015-02-04,2,2,4
3776087.20169,2015-02-05,3,2,5
3778766.80393,2015-02-06,4,2,6
3535304.8876,2015-02-07,5,2,7
3509348.53145,2015-02-08,6,2,8
3514091.48576,2015-02-09,0,2,9
3203353.12195,2015-02-10,1,2,10
2920145.503,2015-02-11,2,2,11
2932354.59791,2015-02-12,3,2,12
2877821.68341,2015-02-13,4,2,13
2606003.05933,2015-02-14,5,2,14
2389583.07691,2015-02-15,6,2,15
2312632.04501,2015-02-16,0,2,16
2198748.39097,2015-02-17,1,2,17
1684875.23725,2015-02-18,2,2,18
2022446.88602,2015-02-19,3,2,19
2059999.83369,2015-02-20,4,2,20
2084077.06411,2015-02-21,5,2,21
2132034.39175,2015-02-22,6,2,22
2202516.17714,2015-02-23,0,2,23
2306693.6801,2015-02-24,1,2,24
2427385.93956,2015-02-25,2,2,25
2662998.12239,2015-02-26,3,2,26
2890588.14434,2015-02-27,4,2,27
1642393.55649,2015-02-28,5,2,28
2938164.8292,2015-03-01,6,3,1
3316632.90849,2015-03-02,0,3,2
3475958.26143,2015-03-03,1,3,3
3561394.62773,2015-03-04,2,3,4
1762967.17794,2015-03-05,3,3,5
1763685.15603,2015-03-06,4,3,6
3558649.90143,2015-03-07,5,3,7
3036682.40149,2015-03-08,6,3,8
3730163.87508,2015-03-09,0,3,9
3800270.85932,2015-03-10,1,3,10
3839405.35323,2015-03-11,2,3,11
3924777.87856,2015-03-12,3,3,12
3848271.80129,2015-03-13,4,3,13
3939059.57145,2015-03-14,5,3,14
3780611.6693,2015-03-15,6,3,15
3729723.68882,2015-03-16,0,3,16
3854833.6963,2015-03-17,1,3,17
3767105.23961,2015-03-18,2,3,18
3268506.5528,2015-03-19,3,3,19
2615917.55472,2015-03-20,4,3,20
3121263.61479,2015-03-21,5,3,21
3245231.41731,2015-03-22,6,3,22
3770573.64213,2015-03-23,0,3,23
3866907.36414,2015-03-24,1,3,24
3929369.21583,2015-03-25,2,3,25
3953802.74754,2015-03-26,3,3,26
3467399.95426,2015-03-27,4,3,27
3654795.74136,2015-03-28,5,3,28
3562165.71338,2015-03-29,6,3,29
3797606.32078,2015-03-30,0,3,30
3795811.03945,2015-03-31,1,3,31
3871366.06245,2015-04-01,2,4,1
3895985.43455,2015-04-02,3,4,2
3884150.26705,2015-04-03,4,4,3
3714617.45636,2015-04-04,5,4,4
3234607.60126,2015-04-05,6,4,5
3444504.48661,2015-04-06,0,4,6
3873222.20605,2015-04-07,1,4,7
3882849.05222,2015-04-08,2,4,8
3908051.50307,2015-04-09,3,4,9
3817273.36004,2015-04-10,4,4,10
3761043.68547,2015-04-11,5,4,11
3549172.18947,2015-04-12,6,4,12
3768732.89159,2015-04-13,0,4,13
3851997.65803,2015-04-14,1,4,14
3869788.38765,2015-04-15,2,4,15
3842018.43638,2015-04-16,3,4,16
3700848.28292,2015-04-17,4,4,17
3637740.08635,2015-04-18,5,4,18
3661865.67019,2015-04-19,6,4,19
3673084.02016,2015-04-20,0,4,20
3767547.59953,2015-04-21,1,4,21
3813267.09506,2015-04-22,2,4,22
3888745.70625,2015-04-23,3,4,23
3832509.50143,2015-04-24,4,4,24
3807415.60454,2015-04-25,5,4,25
3666120.18998,2015-04-26,6,4,26
3813154.53595,2015-04-27,0,4,27
3901491.29766,2015-04-28,1,4,28
3884982.12291,2015-04-29,2,4,29
3794357.72835,2015-04-30,3,4,30
3042238.32517,2015-05-01,4,5,1
3096214.59875,2015-05-02,5,5,2
3560649.48619,2015-05-03,6,5,3
3771653.94162,2015-05-04,0,5,4
3898924.52126,2015-05-05,1,5,5
3902991.35718,2015-05-06,2,5,6
3881425.09559,2015-05-07,3,5,7
3869188.62208,2015-05-08,4,5,8
3768195.90583,2015-05-09,5,5,9
3558487.66879,2015-05-10,6,5,10
3752541.97775,2015-05-11,0,5,11
3814663.55133,2015-05-12,1,5,12
3932174.3273,2015-05-13,2,5,13
4072606.38241,2015-05-14,3,5,14
3896217.08491,2015-05-15,4,5,15
3769356.75545,2015-05-16,5,5,16
3627482.72366,2015-05-17,6,5,17
3742548.86444,2015-05-18,0,5,18
3875286.74252,2015-05-19,1,5,19
3862575.35916,2015-05-20,2,5,20
3828954.63531,2015-05-21,3,5,21
3867424.52479,2015-05-22,4,5,22
3878872.30276,2015-05-23,5,5,23
3738752.77221,2015-05-24,6,5,24
3887955.32977,2015-05-25,0,5,25
3923043.64204,2015-05-26,1,5,26
3941379.53698,2015-05-27,2,5,27
3976309.63342,2015-05-28,3,5,28
3908729.15849,2015-05-29,4,5,29
3692166.10931,2015-05-30,5,5,30
3516771.20143,2015-05-31,6,5,31
3678402.73054,2015-06-01,0,6,1
3744765.06755,2015-06-02,1,6,2
3723115.79751,2015-06-03,2,6,3
3720612.82832,2015-06-04,3,6,4
3710232.00996,2015-06-05,4,6,5
3758678.80212,2015-06-06,5,6,6
3594441.9805,2015-06-07,6,6,7
3799762.71817,2015-06-08,0,6,8
3900078.92044,2015-06-09,1,6,9
4019006.47529,2015-06-10,2,6,10
3997068.37129,2015-06-11,3,6,11
3988215.6346,2015-06-12,4,6,12
3951448.22179,2015-06-13,5,6,13
3814542.0399,2015-06-14,6,6,14
3978631.5609,2015-06-15,0,6,15
3881733.40835,2015-06-16,1,6,16
3741775.71896,2015-06-17,2,6,17
3779794.94458,2015-06-18,3,6,18
3873769.07362,2015-06-19,4,6,19
3406478.97404,2015-06-20,5,6,20
3511345.03458,2015-06-21,6,6,21
3750665.28856,2015-06-22,0,6,22
3737104.15562,2015-06-23,1,6,23
3884473.0631,2015-06-24,2,6,24
3976253.20066,2015-06-25,3,6,25
3943593.76824,2015-06-26,4,6,26
3760860.85233,2015-06-27,5,6,27
3555310.89548,2015-06-28,6,6,28
3780249.69362,2015-06-29,0,6,29
3910746.83847,2015-06-30,1,6,30
2697703.50887,2015-07-01,2,7,1
3607286.55943,2015-07-02,3,7,2
3996836.38053,2015-07-03,4,7,3
3836762.50677,2015-07-04,5,7,4
3629722.46084,2015-07-05,6,7,5
3818269.03674,2015-07-06,0,7,6
3221251.80027,2015-07-07,1,7,7
3840521.52673,2015-07-08,2,7,8
3980415.5303,2015-07-09,3,7,9
4034956.87391,2015-07-10,4,7,10
3881689.25123,2015-07-11,5,7,11
3618212.83804,2015-07-12,6,7,12
3995135.9632,2015-07-13,0,7,13
3472571.74348,2015-07-14,1,7,14
3949036.98677,2015-07-15,2,7,15
