date,max,min,1,2,3
2015/1/1,8,-4,晴,西南风,小于3级
2015/1/2,13,0,多云转晴,东南风,小于3级
2015/1/3,16,3,多云,南风,小于3级
2015/1/4,15,4,晴转阴,东风,3-4级
2015/1/5,10,2,小雨转雨夹雪,西北风,4-5级转3-4级
2015/1/6,7,-1,阴转多云,北风,小于3级
2015/1/7,7,-2,晴,西北风,小于3级
2015/1/8,12,-1,晴,北风,小于3级
2015/1/9,14,1,晴转多云,西南风,小于3级
2015/1/10,14,1,晴,西南风,小于3级
2015/1/11,10,1,多云,东北风,小于3级
2015/1/12,8,3,阴,东风,小于3级
2015/1/13,8,4,小到中雨转多云,东北风,小于3级
2015/1/14,10,4,阴转多云,西北风,小于3级
2015/1/15,11,3,多云,西南风,小于3级
2015/1/16,7,-1,多云转晴,西北风,3-4级
2015/1/17,9,-1,多云,东风,小于3级
2015/1/18,11,0,多云,西风,小于3级
2015/1/19,10,2,多云转阴,东风,小于3级
2015/1/20,11,4,多云,东南风,小于3级转3-4级
2015/1/21,7,0,多云,西北风,小于3级
2015/1/22,11,-2,晴,东北风,小于3级
2015/1/23,15,2,多云转阴,东南风,小于3级
2015/1/24,11,7,阴转小雨,东风,3-4级
2015/1/25,10,6,阴,西北风,小于3级转3-4级
2015/1/26,6,2,阴,东北风,4-5级
2015/1/27,3,0,小雪,东北风,4-5级转小于3级
2015/1/28,2,-1,大雪,东北风,3-4级
2015/1/29,3,-1,小雪转阴,西北风,小于3级
2015/1/30,4,-2,多云,北风,小于3级
2015/1/31,5,-1,阴转雨夹雪,东北风,小于3级
2015/2/1,7,1,阴,东风,小于3级
2015/2/2,7,2,阴转多云,东风,小于3级
2015/2/3,7,2,阴转多云,西北风,3-4级
2015/2/4,7,-2,多云转晴,西北风,3-4级
2015/2/5,9,-2,晴转多云,西南风,小于3级
2015/2/6,12,-1,多云,南风,小于3级转3-4级
2015/2/7,6,0,多云转晴,西北风,4-5级
2015/2/8,6,-4,晴,东北风,小于3级
2015/2/9,15,0,晴,西南风,3-4级
2015/2/10,15,0,晴,西南风,3-4级
2015/2/11,15,0,晴,西南风,3-4级
2015/2/12,15,0,晴,西南风,3-4级
2015/2/13,19,3,晴转多云,东南风,小于3级
2015/2/14,15,10,阵雨,东南风,小于3级
2015/2/15,15,9,阴转多云,西北风,3-4级
2015/2/16,14,3,多云转晴,西南风,小于3级
2015/2/17,12,3,晴,东风,4-5级
2015/2/18,11,1,多云,东北风,小于3级
